FY 2024,FY 2023
Kshs,Kshs
"1,933,766,235","1,920,039,498"
"96,259,944","13,726,737"
"2,030,296,178","1,933,766,235"
"1,906,114,218","1,896,447,203"
"71,237,438","9,667,015"
"1,977,351,655","1,906,114,218"
"52,944,523","27,652,017"
