Column,2019,2018
,Kshs,Kshs
Revaluation reserve,"10,004,768,990","10,00 4,768,990"
Retained earnings,"81,781,925,019","79,453,028,143"
Capital reserve,"875,754,923","875,754,923"
Total funds,"92,662,448,932","90,333,552,056"
Total borrowings,"25,746,553,259","29,755,929,823"
Less: cash and bank balances,"(12,869,223,618)","(5,258,784,637)"
Net debt/ (excess cash and cash equivalents),"12,877,329,641","24,497,145,186"
Gearing,14%,27%
