2014,"2013
(Restated)","1 July 2012
(Restated)"
Kshs’ 000,Kshs’ 000,Kshs’ 000
"3,259,947","3,844,749","3,248,585"
"295,038","298,571","256,307"
"221,189","245,331","218,297"
"(137,508)","(62,328)",-
"154,885","156,831","120,474"
"60,012","66,601","45,848"
"3,610",655,506
"3,374","4,247","4,165"
"1,669","3,202","3,582"
"3,862,216","4,557,859","3,897,764"
"1,786,794","1,746,507","1,612,682"
"2,075,423","2,811,352","2,285,082"
"3,862,217","4,557,859","3,897,764"
