IFRS 2,"Amends the definitions of ‘vesting condition’ and ‘market condition’ and adds definitions
for ‘performance condition’ and ‘service condition’."
,"Require contingent consideration that is classified as an asset or a liability to be measured
at fair value at each reporting date."
,"Requires disclosure of the judgements made by management in applying the aggregation
criteria to operating segments, clarify reconciliations of segment assets only required if
segment assets are reported regularly."
,"Clarify that issuing IFRS 13 and amending IFRS 9 and IAS 39 did not remove the ability to
measure certain short-term receivables and payables on an undiscounted basis (amends
basis for conclusions only)."
,"Clarify that the gross amount of property, plant and equipment is adjusted in a manner
consistent with a revaluation of the carrying amount."
IAS 24,Clarify how payments to entities providing management services are to be disclosed.
IFRS 1,"Clarify which versions of IFRSs can be used on initial adoption (amends basis for conclu-
sions only)."
IFRS 3,"Clarify that IFRS 3 excludes from its scope the accounting for the formation of a joint ar-
rangement in the financial statements of the joint arrangements itself."
IFRS 13,Clarify the scope of the portfolio exception in paragraph 52.
IAS 40,"Clarifying the interrelationship of IFRS 3 and IAS 40 when classifying property as invest-
ment property or owner-occupied property."
