SHARE CAPITAL,SHARE PREMIUM,RETAINED EARNINGS,"REVALUATION
RESERVE",TOTAL EQUITY
Kshs,Kshs,Kshs,Kshs,Kshs
"363,466,007","512,288,916","70,812,999,502","17,052,060,642","88,740,815,067"
-,-,"4,499,412,270",-,"4,499,412,270"
-,-,"316,239,688","(449,867,505)","(133,627,817)"
-,-,-,"284,324,403","284,324,403"
-,-,-,"(1,349,377)","(1,349,377)"
-,-,-,"(6,618,571,204)","(6,618,571,204)"
-,-,-,"1,269,430,680","1,269,430,680"
-,-,"1,203,176,297",-,"1,203,176,297"
"363,466,007","512,288,916","76,831,827,757","11,536,027,639","89,243,610,319"
-,-,"6,867,249,974",-,"6,867,249,974"
-,-,-,"(25,745,094)","(25,745,094)"
-,-,"(7,000,000,000)",-,"(7,000,000,000)"
"363,466,007","512,288,916","76,699,077,731","11,510,282,545","89,085,115,199"
