Column,2016 (Kshs’ 000),Column,2015 (Kshs’ 000),Column
Currency - GB Pounds,"Effect on
Profit","Effect on
Equity","Effect on
Profit","Effect on
Equity"
,"1,874","1,312","26,522","18,565"
,"(1,874)","(1,312)","(26,522)","(18,565)"
Currency - Euro,,,,
,"11,864","8,305","1,312",918
,"(11,864)","(8,305)","(1,312)",(918)
Currency - US Dollars,,,,
,"4,393,205","3,754,068","1,585,740","1,110,018"
,"(4,393,205)","(3,754,068)","(1,585,740)","(1,110,018)"
Currency - CAD,,,,
,185,130,-,-
,(185),(130),-,-
Currency - ZAR,,,,
,6,4,-,-
,(6),(4),-,-
Currency - ZAR,,,,
,,,427,299
,,,(427),(299)
