FY 2024,FY 2023
Kshs,Kshs
"16,352,018,066","17,265,686,710"
"3,942,813,371","3,942,813,371"
"(19,143,611)","(31,456,653)"
-,"842,816,786"
"20,275,687,826","22,019,860,213"
"(665,070,793)","(1,861,402,184)"
"(476,759,521)",-
"20,297,922","29,593,117"
"(1,121,582,392)","(1,831,809,067)"
"19,154,105,434","20,188,051,145"
"20,188,051,145","20,072,668,334"
"(1,033,945,712)","128,922,045"
-,"244,304,856"
"19,154,105,434","20,188,051,145"
