Property Description,Title No. or Description
12 Plots Ngong Forest Row PS 22 Staff Housing,"Longonot Kijabe Block 6/978
(Kiambu Nyakinyua)"
PS 22 Pump Station,"Longonot Kijabe Block 6/7481
(Kiambu Nyakinyua)"
PS 23 and KPC Training and Conference Centre,N/A
PS 26A Olare Scheme,Burnt Forest Plot No. 47
PS 5 Mtito Andei Mangelete Scheme,Title No. 2464 (Part)
Konza PS 8,"Konza South Block 4 (Aimi Ma
Kilingu)/1524"
PS 3 Maungu,Title No. 24360 (Part)
