No.,Column,Name of the School,Column,No. of students,County
,Thika High school,,18,,
2,,Joy Town Secondary School for the Physically Handicapped,,21,Kiambu
,St. Lucy High School for the Visually Impaired,,8,,
4,,Salvation Army Likoni High School for the Visually Impaired,,3,Mombasa
,Pwani Secondary school for the Deaf,,3,,
6,,Mombasa High School,,3,Mombasa
,Bahari Malindi Secondary School,,2,,
8,,Sahajanand Inclusive Technical Secondary School,,2,Kilifi
,Kwale High School for The Deaf,,2,,
