Depot,MSP,AGO,DPK,Jet A-1
Moi Airport - PS 12,-,-,-,"7,349"
JKIA – PS 9,-,-,-,"54,141"
Nairobi – PS 10,"71,726","66,551","57,187","37,116"
Nakuru – PS 25,"12,163","15,702","2,668",-
Kisumu – PS 28,"14,371","29,388","5,013","6,516"
Eldoret – PS 27,"15,471","21,922","4,413","6,283"
Sub-total,"113,731","123,563","69,281","111,405"
KOSF – PS 14,"108,577","92,683","124,973",-
KPRL – PS 15,"105,989","127,820","30,629",-
Grand Total,"328,297","344,066","224,883","111,405"
