Initial budget,"Supplementary/
Adjustments",Final budget,"Actual on
comparable basis","Performance
difference",% Var
Kshs,,Kshs,Kshs,Kshs,Kshs
"32,342,778,946",-,"32,342,778,946","34,975,256,321","2,632,477,375",8%
"1,127,800,768",-,"1,127,800,768","2,042,239,506","914,438,738",81%
"33,470,579,714",-,"33,470,579,714","37,017,495,827","3,546,916,113",11%
"7,062,683,420","76,705,110","7,139,388,530","5,955,059,288","1,184,329,242",17%
"1,574,387,793","177,037,843","1,751,425,636","1,674,593,839","76,831,797",4%
"3,705,598,625","1,011,219,187","4,716,817,812","3,494,153,031","1,222,664,781",26%
"2,453,045,159","314,021,420","2,767,066,579","1,924,898,880","842,167,699",30%
"7,676,240,676","(885,008,996)","6,791,231,680","5,620,737,044","1,170,494,636",17%
"2,059,999,999","787,401,702","2,847,401,701","2,847,401,701",-,-
"566,882,580",-,"566,882,580","467,349,786","99,532,794",18%
-,"2,926,033,376","2,926,033,376","2,062,574,948","863,458,428",30%
-,"3,177,415,457","3,177,415,457","250,173","3,177,165,284",100%
-,-,-,"2,205,641,660","(2,205,641,660)",-
-,-,-,"756,591,221","(756,591,221)",-
"25,098,838,252","7,584,825,100","32,683,663,352","27,009,251,571","5,674,411,781",17%
"8,371,741,462",,"786,916,362","10,008,244,255","9,221,327,894",-
"9,507,346,169","(494,991,846)","9,012,354,323","4,590,638,685","4,421,715,638",49%
"34,606,184,421","7,089,833,254","41,696,017,675","31,599,890,256","10,096,127,419",24%
