2016,2015
Kshs’ 000,Kshs’ 000
"2,667,110","2,525,733"
"212,509","871,244"
"576,737","989,124"
"52,449","36,684"
"79,321","89,516"
"13,266","16,183"
"108,283","78,899"
"28,500","24,177"
"218,380","161,344"
-,"4,814"
"58,521","51,852"
"7,491","3,909"
"6,935","7,865"
-,-
"8,080","8,448"
"9,240","7,560"
"2,827","4,928"
"15,796","5,180"
"12,400",-
"22,501",-
"4,100,346","4,887,460"
"4,163,955","3,648,251"
"329,389","403,708"
"262,549","272,436"
-,"(157,093)"
"54,312","373,845"
"81,341","97,548"
"6,253","2,361"
"4,190","5,845"
"6,916","3,605"
"4,908,905","4,650,506"
"2,241,795","2,124,773"
"2,667,110","2,525,733"
"4,908,905","4,650,506"
