Specific Provisions,Other Provisions,Total
Kshs,Kshs,Kshs
"8,009,089,463","30,774,829","8,039,864,291"
"223,996,814",-,"223,996,814"
"(6,638,800,619)",-,"(6,638,800,619)"
"396,718,712",-,"396,718,712"
"1,991,004,369","30,774,829","2,021,779,198"
