FY 2024,FY 2023
Kshs,Kshs
"7,345,102,105","(8,133,986,099)"
-,"(1,057,076,174)"
-,"117,000,000"
-,-
-,"501,075,771"
-,"1,461,884,397"
"(7,345,102,105)","(7,345,102,105)"
