FY 2024,FY 2023
Kshs,Kshs
"83,325,374,835","84,055,476,767"
"15,032,385,882","15,775,062,079"
"52,944,523","27,652,017"
"67,493,073","98,643,722"
"36,306,359","36,306,359"
"1,327,713,990","1,327,713,990"
"3,524,045,667","3,316,663,265"
"103,366,264,329","104,637,518,200"
"2,646,842,730","2,440,530,782"
"8,090,589,703","10,073,913,598"
"101,898,752",-
"4,343,019,910","9,338,957,389"
"2,174,299,629","2,392,813,774"
"17,356,650,723","24,246,215,543"
"120,722,915,053","128,883,733,743"
"363,466,007","363,466,007"
"512,288,916","512,288,916"
"76,699,077,731","76,831,827,757"
"11,510,282,545","11,536,027,639"
"89,085,115,199","89,243,610,319"
"19,154,105,433","20,188,051,145"
-,"3,367,442,249"
"31,105,968","75,659,687"
"19,185,211,401","23,631,153,082"
"9,883,590,590","10,816,511,667"
"80,000,000","80,000,000"
-,"1,715,803,852"
"2,456,291,794","3,367,459,000"
"32,706,069","29,195,824"
"12,452,588,453","16,008,970,343"
"120,722,915,053","128,883,733,743"
