CSI Initiative,Column,Beneficiary,"Contract
Completion
Date",County
1,"Construction of Four Classrooms and
Administration Block","Masangora Girls
Secondary",February 2018,Migori
2,Construction of School Laboratory,"Simbi Mixed
Secondary",March 2017,Homabay
3,Construction of Water Borehole,Akithii Girls Secondary,July 2017,Meru
4,INUKA Scholarship Program,Nominated Students,Continuous,"The 47
Counties"
5,"Construction of Administration Block and
Refurbishment of the Existing Classes",Nachu Primary School,December 2017,Kiambu
6,Construction of Boy’s Dormitory,"Limnyomoi Primary
School",March 2017,"Uasin
Gishu"
7,Construction of Kaminjeiwet Resource Centre,"Kaminjeiwet
Community",August 2018,Kericho
8,Construction of Boy’s Dormitory,"Kapmaso Boys’
Secondary School",December 2018,Kericho
9,Construction of 4No. Classrooms,"Cheptuiyet Girls’
Secondary School",August 2018,Kericho
10,"Refurbishment of 12No. Classrooms, Construction
of 10-door-pit Latrine and School Gate","Manyonyi Primary
School",February 2018,Kakamega
11,"Borehole Drilling, Equipping and Commissioning","Okarkar & Kiboko
Community",July 2019,Kajiado
12,Construction 4No. Classrooms,Uswet Primary School,December 2019,Bomet
13,Construction of a modern school library structure,Hema High School,May 2019,
