FY 2024,FY 2023
Kshs.,Kshs.
"14,261,114,224","21,172,365,228"
"888,457,329","883,056,483"
"(467,349,786)","(970,109,062)"
"(11,847,651)","(11,353,575)"
"(4,174,939,993)",-
"10,495,434,123","21,073,959,074"
"(4,257,565,879)","(2,680,689,169)"
-,"(6,618,571,204)"
"25,758,765",-
"(96,529,944)","(13,726,737)"
"(236,542,862)","(162,624,834)"
"(4,564,879,960)","(9,475,611,943)"
"(41,043,474)","(19,747,084)"
"(7,000,000,000)",-
"(4,103,962,315)","(10,247,196,232)"
"(11,145,005,789)","(10,266,943,317)"
"(5,214,451,626)","1,331,403,814"
"11,731,771,164","10,400,367,349"
"6,517,319,538","11,731,771,163"
