2023,Column,"2021
Restated"
KShs,,KShs
"84,055,476,767","86,129,189,345","97,149,447,050"
"15,775,062,079","16,517,740,255","17,415,890,672"
"27,652,017","23,592,295","30,308,870"
"98,643,722",-,-
"36,306,359","36,306,359","36,306,359"
"1,327,713,990",-,-
"3,316,663,265","3,142,126,450","3,117,018,373"
"104,637,518,200","105,848,954,704","117,748,971,324"
"2,440,530,782","2,343,922,959","2,608,031,945"
"10,073,913,598","8,283,971,264","9,160,335,600"
-,"827,398,507","888,115,224"
"9,338,957,389","7,786,148,607","7,086,097,763"
"2,392,813,774","2,614,218,743","2,462,154,764"
"24,246,215,543","21,855,660,079","22,204,735,296"
"128,883,733,743","127,704,614,783","139,953,706,620"
"363,466,007","363,466,007","363,466,007"
"512,288,916","512,288,916","512,288,916"
"76,831,827,757","70,812,999,502","74,911,762,837"
"11,536,027,639","17,052,060,642","21,282,415,380"
"89,243,610,319","88,740,815,067","97,069,933,140"
"20,188,051,145","20,072,668,334","19,724,588,796"
"3,367,442,249","10,098,826,050","13,864,936,579"
"75,659,687",-,-
"23,631,153,082","30,171,494,384","33,589,525,375"
"10,816,511,667","3,662,885,082","4,592,602,577"
"80,000,000","80,000,000","80,000,000"
"1,715,803,852",-,-
"3,367,459,000","5,049,420,250","4,621,645,527"
"29,195,824",-,-
"16,008,970,343","8,792,305,332","9,294,248,104"
"128,883,733,743","127,704,614,783","139,953,706,620"
