Meeting,Column,Column,No. of Meetings,Membership,Average Attendance %,Column
Full Board Meeting,,,9,10,94,
Finance Committee,,,4,5,100,
Human Resource Committee,,,6,5,90,
Technical Committee,,,5,5,,100
Audit Committee,,,9,5,,80
,"ledge, no situations of conflict arose at the Board.","ge, no situations of conflict arose at the Board.",,,,
