Column,"Within 12
months","Over 12
months",Total
AT 30 JUNE 2014,Kshs’ 000,Kshs’ 000,Kshs’ 000
,"218,840","80,000","298,840"
,"2,335,279",-,"2,335,279"
,"1,757,185",-,"1,757,185"
,"4,311,304","80,000","4,391,304"
,"220,840","81,766","302,606"
,"1,297,194",-,"1,297,194"
,"757,357",-,"757,357"
,"2,275,391","81,766","2,357,157"
