County,Location / Title Reference
Nairobi County,"L.R. No. 209/16876 (Nairobi Block
58/595)"
,L.R. No. 9042/225
Kajiado County,"Title No. Kajiado/Kaputiei-
South/1085 & 1255"
Nakuru County,"Longonot/Kijabe Block 6/7481
(Kiambu Nyakinyua)"
,L.R. No. 11367/5
,L.R. No. 11964/23
"Uasin Gishu
County","Pump Station No. 26A, Olare
Scheme, Burnt Forest Plot No. 47"
,Eldoret Municipality/Block 11/190
,Eldoret Municipality/Block 11/792
"Mombasa
County",L.R. No. MN/VI/3430
,"Aviation Depot, Moi International
Airport (PS 12)"
,Mainland North/Section VI/1223
,Mainland North/Section VI/2574
Kwale County,L.R. No. Samburu/Kwale South/61
"Taita Taveta
County",Maungu Pump Station No. 3 (PS 3)
,Manyani Pump Station No. 4 (PS 4)
"Makueni
County","Mang’elete Settlement Scheme
2464 (PS 5)"
,"L.R. No. Makueni/Kiboko ‘A’/897
(PS 6)"
,"Konza South/Konza South Block 4
(Aimi Ma Kilingu) /1526 & 1524"
