2016,2015
Kshs’ 000,Kshs’ 000
"8,572,064","7,909,057"
"12,307,335","11,821,449"
"1,893,986","1,624,565"
"208,087","82,282"
532,883
"22,982,003","21,438,236"
"2,241,795","2,124,773"
"1,758,086","1,064,855"
"1,124,943","2,031,955"
"2,212,454","2,356,283"
"236,016","240,820"
"53,314","64,362"
-,"82,337"
"155,185","2,107"
"7,781,793","7,967,492"
"13,262","5,682"
"84,968","83,800"
"2,824","(15,965)"
"62,499","59,523"
"2,700","1,800"
"101,146","98,673"
"23,016","92,272"
"290,416","325,785"
"220,078","203,208"
"409,788","1,572,326"
"3,781","3,629"
