Column,Column,"2013
Kshs’000","2012
Kshs’000"
,,"1,518,034
864,043
39
103,129
(21,014)
80,000
1,766","1,281,470
898,816
52
115,770
4,964
80,000
1,766"
,,"2,545,997","2,382,838"
,,-,"300,000"
,,-,"300,000"
,,"-
-","8,057,356
236,197"
,,-,"8,293,553"
"nd
-
-
-
nd
12 represents the loan drawn down from a credit facility of USD 109,39
with CFC Stanbic Bank as the Facility Agent, to finance the Line IV Ca
ayable in 20 quarterly instalments starting from March 2012, and is se
arketing companies. The loan was fully repaid during the year.",,,
,,"-
-","6,450,541
1,843,012"
,"-
-
-
epresents the loan drawn down from a credit facility of USD 109
h CFC Stanbic Bank as the Facility Agent, to finance the Line IV
ble in 20 quarterly instalments starting from March 2012, and is
eting companies. The loan was fully repaid during the year.","-
-",
,,-,"8,293,553"
