2014,2013,2012,2011,2010
Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
"11,582,002","8,948,241","6,981,736","1,931,625","6,762,413"
"(3,100,034)","(793,039)","(5,129,648)","(6,822,219)","(4,665,427)"
-,"(8,970,208)","(1,062,064)","7,360,277","1,462,143"
"6,763,905","(3,225,133)","790,024","2,469,683","3,559,129"
"4,318,949","7,544,082","6,754,057","4,284,374","725,245"
"11,082,854","4,318,949","7,544,082","6,754,057","4,284,374"
