Column,2016,2015,2014,2013,2012
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"22,982,003","21,438,236","20,055,532","18,487,065","16,480,628"
Direct Costs,"(7,781,792)","(7,967,492)","(6,912,545)","(6,947,721)","(6,537,834)"
Gross Profit,"15,200,211","13,470,744","13,142,987","11,539,344","9,932,504"
Other Income,"290,416","325,785","283,926","247,891","293,050"
,"(4,100,346)","(4,887,460)","(3,462,384)","(3,737,630)","(3,072,107)"
,-,-,-,-,-
Operating Profit,"11,390,281","8,909,069","9,964,529","8,049,605","7,163,736"
Net Finance Income,"626,085","1,771,905","258,416","61,512","687,091"
Profit Before Taxation,"12,016,366","10,680,974","10,222,945","8,111,117","7,850,828"
Taxation Charge,"(3,606,836)","(3,459,347)","(3,120,162)","(1,381,198)","(2,237,381)"
,"8,409,530","7,221,627","7,102,783","6,729,919","5,613,446"
,463,397,391,370,309
