"r Ended 30th June
2013 2012 2011
Ksh'000 Ksh'000 Ksh'000",Column,Column,Column,Column,Column,Column,Column
,"2013 2012 2011
Ksh'000 Ksh'000 Ksh'000",,,,,,
,,"2013
Ksh'000","2012
Ksh'000","2011
Ksh'000",,"2010
Ksh'000","2009
Ksh'000"
"ed From 6,538,113 6,981,737 1,931,625 6,
s
) Investing (793,039) (5,129,647) (6,822,219) (4,
) Financing (8,970,208) (1,062,064) 7,360,277 1,
crease) in (3,225,135) 790,026 2,469,683 3,
uivalents","From 6,538,113 6,981,737 1,931,625
vesting (793,039) (5,129,647) (6,822,219)
nancing (8,970,208) (1,062,064) 7,360,277
ase) in (3,225,135) 790,026 2,469,683
alents","6,538,113","6,981,737","1,931,625","6,","762,413","2,178,616"
,,"(793,039)","(5,129,647)","(6,822,219)","(4,","665,427)","(3,520,837)"
,,"(8,970,208)","(1,062,064)","7,360,277","1,","462,143",-
,,"(3,225,135)","790,026","2,469,683","3,","559,129","(1,342,221)"
