2025*,2024*,2023**,2022**
KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
"98,394,772","91,988,433","80,975,729","79,983,976"
"139,007,776","133,059,633","119,006,239","118,046,364"
"40,613,004","41,071,200","38,030,510","38,062,388"
"98,394,772","91,988,433","80,975,729","79,983,976"
