2025*,2024*,2023**,2022**
KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
"14,262,260","11,300,199","11,813,944","12,855,004"
"(508,953)","(4,320,260)","(2,694,416)","(691,369)"
"(8,536,529)","(12,133,283)","(7,825,640)","(11,381,068)"
"5,216,778","(5,153,344)","1,293,888","782,567"
(114),"(7,576)","37,515","69,548"
"11,787,515","6,570,851","11,731,771","10,400,368"
