Fully Performing,Past Due,Impaired,Gross Total
Kshs,Kshs,Kshs,Kshs
"2,857,264,487","95,562,102","1,779,831,394","4,732,657,984"
"23,221,749","30,730,222","1,050,882,727","1,104,834,697"
"2,174,299,629",-,-,"2,174,084,266"
"4,343,019,910",-,-,"4,343,019,910"
"9,374,805,775","126,292,324","2,830,714,121","12,354,596,857"
