Column,Column,2014,"2013
(Restated)","1 July 2012
(Restated)"
ASSETS,Note,Kshs’ 000,Kshs’ 000,Kshs’ 000
,"14 41,264,151",,"40,333,480","29,985,536"
,15,"5,127,880","5,217,229",
,16,"2,985","6,910",
,17,"67,032","67,032",
,18,"1,407,397","1,320,984",
,20,"118,293","159,107",
,,"47,987,738","47,104,742","31,004,331"
,19,"1,443,982","1,128,042","1,025,571"
,20,"9,440,453","7,824,695","6,474,012"
,11(c),-,"991,313","46,719"
,21,"104,316","100,000","100,000"
,22 (a),"5,938,961","1,982,203","3,567,069"
,22 (b),"5,143,892","2,336,745","3,977,012"
,,"22,071,604","14,362,998","15,190,383"
,23,-,"23,255","35,361"
,,"70,059,342","61,490,995","46,230,075"
