FY 2023/24 CLIMATE RELATED EXPENDITURES,Column,Column,Column,Column,Column,Column,Column,Column,Column
"Project
Name","Project
Description",Project Objectives,"Project
Activities",Actual Expenditure (KShs),,,,"Source of
Funds","Implementing
Part-ners/Contractor"
,,,,"1st
Quarter","2nd
Quarter","3rd/4th
Quarter",Total Cost (KShs),,
"Air-conditioning
System
Management","Installation of
split unit air
conditioners for
Nairobi, Coast,
Western","Enhance energy efficiency
through utilisation of split
flow HVAC units.","Change of HVAC
unit gases to
R410A gases;
removal of CFC gas
units; removal of
central HVAC units
& installation of
split units.",-,-,,"USD 60,235
(KShs.7,830,550)","Internal
funds","KPC (Client)
Contralinks limited
(Contractor)"
"Reforestation of
Mangrove Forest
at the Coast &
Narasha Forest
in Baringo as
well as Line 1
Interstations","Planting of
467,108
mangrove &
terrestrial forest
seedlings at
Jomvu Kuu Creek
in Mombasa
County &
Narasha
Baringo County
through use of
community forest
associations","Reforestation of depleted
mangrove forest zones within
Mombasa & Baringo County.","Planting and
maintenance of
467,108 seedlings.",,,,"30,694,310","Internal
funds","KFS, 12No community
forest associations
based in Mombasa
County & 10No
community nurseries"
"Spill containment
dams","Spill containment
dams at PS 1,12,
2&3","Spill containment from
KPC infrastructure in
event of a major release
that overwhelms primary
containment systems
occasioned by major failures
& catastrophe like flooding
that overwhelms OWS.","Construction of
spill containment
dams of between
500m3-1000m3.",,,,"37,057,464",,
