Pillar,Objective,Activities,"Key Performance
Indicators",Achievements
"Business
Leadership","Grow existing
business",Increase throughput,"Throughput of 7,873,738m3","Throughput of
8,111,542m3"
,,"Upgrading of bottom
loading facilities at PS 25-
Nakuru; PS 27-Eldoret and
PS 28-Kisumu.","Completion by 30th June
2021","Nakuru – 62%
Eldoret – 100%
Kisumu – 90%"
,Diversification,"Diversify into data
communication sector","Growth in revenue by Kshs.
111.16 million","to Kshs. 156.58
million"
,,"Enhance MIOG training
capacity",100 No. trainees,163 No. trained
,"Adherence to
International
Standards","Information security
management system (IS
MS) ISO 27001 standards","ISO 27001 standard by 31st
May 2021","Attainment of the new
ISO standard delayed."
,Customer Satisfaction,"Strive to achieve 85%
customer satisfaction","Grow customer satisfaction
index by 3%","Increased from 79% in
2019/20 to 83%"
,,"Implement Service Delivery
Charter","Display the charter
prominently at the point of
entry/service delivery points
in both English and Kiswahili
by 30th June 2021.","The charter displayed
at all KPC depots."
People Pillar,"An organisation
structure that is
aligned to the
achievement of our
business strategy","Implement the new
structure","• All staff transition to new
structure.
• Filling of vacant position
as per manpower plan","• Staff transition to
new structure done.
• 50% of vacant
positions filled."
,"Ensure high focus on
organization",Development of skills,3 days training for all staff,"338No. of staff
trained."
"Image and
Reputation","Image enhancing
corporate social
investments",Carry out CSI activities,"Scholarship for 376 pupils
with disabilities","376 No. scholarships
awarded"
,,Tree Planting,"20,000 trees to be planted
along the Right of Way","20,000 trees planted."
,"Improve internal
communication
infrastructure",Ensure system availability,99.99%,99.93%
,,"Extend FOC network to key
data centres","Extend FOC to KONZA and
iCOLO to improve uptake",Delayed.
,Integration of systems,"Integrated customs
management systems to
SAP – IS Oil","• Roll out of SAP online
order processing at all
loading depots by 30th
June 2021.
• Reduce stages in loading
process.","• Roll out of online
order processing
done 31st May 2021.
• Loading process
reduced from 14No.
to 4No."
,"Acquire and implement E-
board system",,System in place by 30th June,"System in place by 30th
June"
,,,,June
