Recoverable as follows:,Column,Column
Current Assets:,,
Within one year,"10,488,462,618","14,390,380,166"
Non-current Assets:,,
After one year -staff loans-,"1,284,274,632","1,263,891,181"
Long-term Receivables,"862,608,481",-
,"2,146,883,113","1,263,891,181"
