"Purchase of property, plant and equipment",16,"(507,537,083)","(1,783,922,667)"
"Proceeds from disposal of property, plant and equipment",,"5,655,174","12,203,400"
Purchase of intangible assets,18,"(102,995,299)","(394,869,291)"
