(d) Key management compensation,Column,Column,Column
,CEO salaries and benefits,"12,584,365","13,009,574"
,Key Management salaries and benefits,"271,492,093","237,130,333"
,,"284,076,458","250,139,907"
,Directors Expenses:,,
,- Fees,"12,000,000",-
,- Board Retreats and general expenses,"1,152,738","1,719,719"
,- Sitting /duty allowance,"9,696,000","16,326,666"
,- Training expenses,"6,902,533","11,867,709"
,- Travel expenses and Subsistence allowance,"11,642,645","16,716,462"
,,"41,393,917","46,630,556"
