Column,GBP,EUR,USD,CAD,ZAR
At 30 June 2016,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
,-,-,"1,398,125",-,
,-,-,"40,404,242",-,
,-,-,"11,827,176",-,
,-,-,"53,629,543",-,-
Financial Liabilities,,,,,
,"(18,744)","(118,636)",-,"(1,852)",(58)
,,,"(9,697,497)",,
Net exposure,"(18,744)","(118,636)","43,932,046","(1,852)",(58)
