Column,2014,2013,2012,2011,2010
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"20,055,532","18,487,065","16,480,628","13,784,557","12,925,838"
Direct Costs,"(6,912,545)","(6,947,721)","(6,537,834)","(5,144,740)","(5,115,235)"
Gross Profit,"13,142,987","11,539,344","9,932,504","8,639,817","7,810,603"
Other Income,"283,926","247,891","293,050","244,412","289,783"
,"(3,462,384)","(3,737,630)","(3,072,107)","(2,448,009)","(4,380,299)"
,-,-,-,"27,100","288,500"
Operating Profit,"9,964,529","8,049,605","7,163,736","6,463,320","4,008,587"
Net Finance Income,"258,416","61,512","687,091","50,526","640,878"
Profit Before Taxation,"10,222,945","8,111,117","7,850,828","6,513,846","4,649,465"
Taxation Charge,"(3,120,162)","(1,381,198)","(2,237,381)","(1,991,889)","(1,862,777)"
,"7,102,783","6,729,919","5,613,446","4,521,957","2,786,688"
,391,370,309,249,153
