2023,"2022
Restated"
KShs,KShs
"21,172,365,228","14,370,609,505"
"883,056,483","823,215,642"
"(970,109,062)","(836,785,562)"
"(11,353,575)",-
-,"60,716,719"
"21,073,959,074","14,417,756,304"
"(2,680,689,169)","(691,298,979)"
-,"23,384,758"
"(6,618,571,204)",
"(13,726,737)","(23,455,380)"
"(162,624,834)","(3,170,784)"
"(9,475,611,943)","(694,540,385)"
"(19,747,084)",-
-,"(8,000,000,000)"
"(10,247,196,232)","(4,871,101,097)"
"(10,266,943,317)","(12,871,101,097)"
"1,331,403,814","852,114,822"
"10,400,367,349","9,548,252,527"
"11,731,771,163","10,400,367,349"
