Column,Column,"2021
Kshs
320,889,817",Column,Column,"2020
Kshs
407,658,109"
,,"1,724,622,239
384,000,000
2,108,622,239",,,"1,315,840,962
384,000,000
1,699,840,962"
,,"80,000,000",,,"80,000,000"
,,,,,"12,584,365
271,492,093
284,076,458"
,CEO salaries and benefits,,"12,900,600",,"12,584,365"
,Key Management salaries and benefits,,,"263,829,980","271,492,093"
,,,,"276,730,580","284,076,458"
Directors Expenses: (note 11(a),Directors Expenses: (note 11(a),,,,
- Fees & incentives,- Fees & incentives,,"12,000,000",,"12,000,000"
- Board Retreats and general expenses,- Board Retreats and general expenses,,"3,856,388",,"1,152,738"
- Sitting /duty allowance,- Sitting /duty allowance,,"10,487,400",,"9,696,000"
- Training expenses,- Training expenses,,"423,911",,"6,902,533"
- Travel expenses and Subsistence allowance,- Travel expenses and Subsistence allowance,,"5,206,776",,"11,642,645"
,,"31,974,475",,,
