Column,GBP,EUR,USD,JPY,HKD
At 30 June 2014,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
,-,-,"4,266,409",-,
,-,"767,422","5,610,900",-,
,341,"797,375","5,717,762","25,773",
,341,"1,564,797","15,595,071","25,773",-
Financial Liabilities,,,,,
,"(3,189)","(133,904)","(185,354)",-,-
Net exposure,"2,848","1,430,893","15,409,717","25,773",-
