2023,Column,2022
KShs,,KShs
Effect on Profit,Effect on Equity,Effect on Profit
"1,842","1,289","(69,591,178)"
"(1,842)","(1,289)","69,591,178"
"(294,451)","(206,116)","(331,000,139)"
294.451,"206,116","331,000,139"
"161,461,132","113,022,793","413,104,028"
"(161,461,132)","(113,022,793)","(413,104,028)"
