Column,Column,2014,"2013
(Restated)","1 July 2012
(Restated)"
SHAREHOLDER’S FUNDS AND LIABILITIES,Note,Kshs’ 000,Kshs’ 000,Kshs’ 000
,"24 363,466",,"363,466","363,466"
,,"512,289","512,289",
,,"47,394,969","40,327,952",
Revaluation Reserve,,"11,887,512","11,859,254",-
,,"60,158,236","53,062,961","34,426,800"
,25,"5,913,210","5,882,037","826,886"
,27 (c),-,-,"6,450,541"
Total Non-Current Liabilities,,"5,913,210","5,882,037","7,277,427"
,26 (a),"3,465,254","2,243,391","2,095,555"
,28 (c),"298,840","302,606","287,281"
,26 (b),-,-,"300,000"
,27 (c),-,-,"1,843,012"
,11 (c ),"223,802",-,-
,,"3,987,896","2,545,997","4,525,848"
,,"70,059,342","61,490,995","46,230,075"
