As previously reported,Column,Restated
KShs,,KShs
"6,046,788,340","(187,212,306)","5,859,576,034"
"880,980,676","47,341,696","928,322,372"
"2,331,771,360","63,137,088","2,394,908,448"
"70,377,568,717","435,430,785","70,812,999,502"
