Column,GBP,EUR,USD,JPY,HKD
At 30 June 2013,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
,-,-,"2,130,861",-,
,-,"135,445","828,816",-,
,302,"134,356","5,021445",-,
,302,"269,801","7,981,122",-,-
Financial Liabilities,,,,,
,"(2,930)","(172,932)","(382,276)",-,(203)
Net exposure,"(2,930)","(172,932)","(382,276)",-,(203)
