FY 2024,FY 2023
Kshs,Kshs
"6,734,901,249","15,148,246,301"
-,-
"(174,647,140)","1,883,851,182"
"(4,103,962,315)","(10,247,196,232)"
"2,456,291,794","6,734,901,249"
