"Purchase of property, plant and equipment",16,"(1,783,922,667)","(9,985,415,945)"
"Proceeds from disposal of property, plant and equipment",,"12,203,400","41,527"
Purchase of intangible assets,18,"(394,869,291)","(36,674,610)"
Purchase of investment - KPRL,,"(862,608,481)",-
Net cash flows used in investing activities,,"(3,029,197,039)","(10,022,049,028)"
