2016,2015,2014,2013,2012
Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
"14,124,202","5,998,201","11,582,002","8,948,241","6,981,736"
"(23,251,823)","(5,411,854)","(3,100,034)","(793,039)","(5,129,648)"
"9,388,097",-,-,"(8,970,208)","(1,062,064)"
"260,477","586,347","6,763,905","(3,225,133)","790,024"
"11,669,200","11,082,854","4,318,949","7,544,082","6,754,057"
"11,929,677","11,669,200","11,082,854","4,318,949","7,544,082"
