"Surplus on revaluation of property and
equipment",Column,-,"16,941,791"
"Deffered tax on revaluation surplus
(Note 33 (iii))",,-,"(5,082,537)"
"Adjustment in surplus on revaluation of property
and equipment",,"40,367",-
"Deferred Tax on Adjustment on revaluation of
property and equipment",,"(12,110)",-
,,"28,257","11,859,254"
,18 (b),"(51,095)",
,,"15,329","(182,995)"
,,"(35,766)","426,988"
Total Other Comprehensive Income,,"(7,509)","12,286,242"
,,"7,095,275","19,016,161"
,KShs,,KShs
,12 391,,370
