Fully Performing,Past Due,Impaired,Gross Total
Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
"2,031,237","4,041,066",-,"6,072,303"
"1,060,773","850,726","211,161","2,122,660"
"2,333,295",-,-,"2,333,295"
"1,982,203",-,-,"1,982,203"
"7,407,508","4,891,792","211,161","12,510,461"
