Risk,Column,Key Mitigation Measures
1. Project Execution,,
"ksiR
lanoitarepO","Concerns that company
projects under implementation
may not be delivered on
time, cost and quality thus
impacting negatively on
the project objectives and
company strategic goals.","• The company reviewed work programs for all awarded projects to align
with expectation of the contracts and held project review meetings for
all ongoing projects to assess risks, challenges and offered mitigation
measures.
• Initiated review of the project execution procedure to enhance efficiency
in project management.
• Engaged stakeholders and reviewed the standard tender document
resulting in substitution of the provision for Joint Ventures (JVs) to Sub-
contractors thereby eliminating disputes and project inefficiencies.
• Sensitisation on the approved project management framework (PFM),
provisions of public investment management (PIM) guideline and SAP
project system (PS) reporting was conducted for senior management with
a view to enhance effectiveness of project management in the company.
• Lessons learnt in project implementation have been consolidated and are
being tracked by executive management for continual improvement."
2. Cybersecurity Threats and Attacks,,
"ksiR
lanoitarepO","Increased integration with our
customers, increased use of
remote access, personal and
mobile devices on company
network and the rampant
cyberattacks nationally &
globally are major concerns for
the company.","• Initiated setting up of the Security Operation Centre (SOC) through
complete installation of the integrated ICT security solutions for
monitoring cyber security threats and attacks.
• Continuous monitoring and reporting on system vulnerabilities and
close-out of reported issues and non-conformities were undertaken during
FY2023/24.
• Enhanced collaboration and partnership with National Computer &
Cybercrime Coordination Centre (NC4) in areas of audit, training and
capacity building. KPC representatives attended a workshop on the
National Cyber Risks Assessment (NCRA) reporting."
