FY 2024,FY 2023
Kshs,Kshs
"1,715,803,853","(827,398,507)"
"4,174,939,993","3,009,935,907"
"(3,206,028,598)","(237,070,900)"
"(2,656,254,297)","(115,243,217)"
"(130,359,703)","(114,419,432)"
"(101,898,752)","1,715,803,852"
