Subsidiary companies,Stated capital,"Bank Debt
loans",< 1 year,"> 1 year < 2
years",">2 years
<3years",> 3 years,Interco debt,"Sharehold-
er’s
loan"
,Shs,Shs,Shs,Shs,Shs,Shs,Shs,Shs
oto Moulders Ltd,"95,581,500","281,850,158","145,053,118","120,046,46","15,029,443","1,721,135","61,452,339",
olyplay Ltd,"6,020,000",-,-,-,-,-,"(3,316,103)",
ojo Plastic Ltd,"20,000,500","25,250,495",-,"25,250,495",-,-,"110,348,690",
appy Golden Foods Ltd,"11,000,000",,-,,-,-,"2,162,033",
lame Tree Africa Ltd,"138,750,000","35,011,768","35,011,768",-,-,-,"80,769,863",
hirag Africa Ltd,"48,650,000","19,756,287","19,756,287",,-,-,"125,615,789",
herry Styles Ltd,"32,219,500",-,-,-,-,-,"12,935,596",
ino Tanques Limitada,"3,594,512",,,-,-,-,"(7,277,656)",
"lame Tree Mozambique
td","50,000",-,-,-,-,-,,
oto PLC,"27,857,100","97,743,515","37,463,525","24,040,065","22,298,651","13,941,275","4,600,192",
uild Mart Ltd,"25,000,000","730,053","730,053",-,-,-,"6,789,866",
lame Tree Brands Ltd,"122,950,000","1,282,024","1,282,024",-,-,-,"62,253,049",
oto Ltd,"5,000,000","40,824,572","6,531,932","9,389,652","24,902,989",-,-,
irrus International FZC,"200,000",-,-,-,-,-,-,"28,326,917"
"TG Holdings Ltd, Mauri-
us parent company ***","185,141,104",,,-,-,-,,
