dustry,Shares,Shares %,Shareholders,Shareholders %
"ast African Community Partner States
dividuals","167,070,730",93.83,"1,841",95.94
"ast African Community Partner States
stitutions","5,853,072",3.29,62,3.23
oreign Individual,"2,630,950",1.48,15,0.78
oreign Institutions,"2,498,734",1.40,1,0.05
tals,"178,053,486",100.00,"1,919",100.00
