ndustry,Shares,Shares %,Shareholders,Shareholders %
"East African Community Partner
States Individuals","165,342,909",92.86,"1,696",95.12
"East African Community Partner
States Institutions","8,268,593",4.64,71,3.98
Foreign Institutions,"2,498,734",1.40,1,0.06
Foreign Individual,"1,943,250",1.09,15,0.84
Totals,"178,053,486",100.00,"1,783",100.00
