"Board of directors Date of appointment
Heril Bangera 27 January 2014
Gilles Kichenin 27 January 2014
Frank Ireri 17 September 2014
Imalambaal Kichenin 18 January 2014
George Theobald 13 September 2014",Column
"Administrator and company secretary
JurisTax Ltd
Level 3, Ebene House, Hotel Avenue
Ebene
MAURITIUS","Principal bankers
Mauritius Commercial Bank
Sir William Newton Street
Port Louis
MAURITIUS
Diamond Trust Bank
DTB Centre, Mombasa Road
P.O. Box 61711 - 00100
Nairobi
KENYA
National Industrial Credit Bank
NIC House, Masaba Road,
Upper Hill Area
P.O. Box 10643 - 00100
Nairobi
KENYA"
"Registered office
C/o JurisTax Ltd
Level 3, Ebene House, Hotel Avenue
Ebene
MAURITIUS",
"Independent auditor
Lamusse Sek Sum and Co (PKF Mauritius)
5 Duke of Edinburgh Avenue
Port Louis
MAURITIUS",
"Nominated advisor
Faida Investment Ltd
P.O. Box 45236 - 00100
Nairobi
KENYA","Legal governance auditor
Soita and Associates Advocates
PO Box 14641 - 00800
Nairobi
KENYA"
"Corporate governance auditor
Scribe Registars
P.O. Box 3085 – 00100 GPO
Nairobi
KENYA","Legal advisors
Coulson Harney Advocates
P.O. Box 10643 - 00100
Nairobi
KENYA"
