Subsidiaries,"Total bank debt
/ loans (shs)","Due in less than
1 year (shs)","Due in 1 to 2
years (shs)","Due in 2 to 3
years (shs)","Due in more
than 3 years
(shs)",Interco debts (shs)
"Roto Moulders
Limited","681,676,790","576,485,997","31,557,238","42,500,682","31,132,873","(15,934,198)"
"Flame Tree Africa
Limited","37,483,116","35,722,469","1,760,648",-,-,"102,951,469"
"Happy Golden Foods
Limited","35,923",-,"35,923",-,-,"9,227,626"
"Rex Industries
Limited",-,-,-,-,-,"22,301,829"
JoJo Plastics Limited,"200,059,917","189,610,360","10,449,556",-,-,"51,840,925"
Chirag Africa Limited,"4,329,576","4,329,576",-,-,-,"143,800,014"
Polyplay Limited,"3,377,082",-,"3,377,082",-,-,"451,593"
Roto Limited,"11,576,600","11,576,600",-,-,-,"24,692,419"
"Flame Tree Brands
Limited",-,-,-,-,-,"15,632,133"
Build Mart Limited,-,-,-,-,-,"1,006,006"
"Roto Private Limited
Company","86,973,063",-,"17,394,613","17,394,613","52,183,838","26,537,345"
"Rino Tanques, LDA",-,-,-,-,-,-
"Flame Tree Mozam-
bique, LDA",-,-,-,-,-,"31,994,245"
"Cirrus International
FZC",-,-,-,-,-,"(12,426,057)"
"The parent company
and its branch","Total bank debt
/ loans (Shs)
Shs","Due in less than
1 year (Shs)
Shs","Due in 1 to
2 years (Shs)
Shs","Due in 2 to 3
years (Shs)
Shs","Due in more
than 3 years
((Shs)
Shs","Interco debts
(Shs)
Shs"
"FTG Holdings Ltd,
parent company
(Mauritius)",-,-,-,-,-,"650,006,589"
"FTG Holdings Ltd,
branch (Kenya)","3,019,224",-,"3,019,224",-,-,-
