Non -Executive Directors,Fixed Retainer,Column,Column,Sitting Allowance,Column,Column
,2021,2020,2019,2021,2020,2019
George Theobald,"1,101","1,064","1,018",277,109,352
Frank Ireri,714,500,500,286,500,571
