No.,Name,Designation,Work Experience
1,Heril Bangera,Chief Executive Officer,Over 30 years
2,Beitriz Meijide,Group Finance Officer,Over 20 years
3,Sonia Bangera,Group Marketing Director,Over 24 years
4,Dee-Vona Quadros,Group Human Resource Manager,Over 10 years
5,Shiva Sankara Kurup Gopinadha,"General Manger, Roto Ltd - Rwanda, Flame Tree
Brands Ltd - Rwanda and Buildmart Ltd, Rwanda",Over 20 years
6,Balachandra Shukla,"General Manager, Chirag Africa Ltd, Kenya",Over 30 years
7,Raymond Goes,"General Manager, Roto Moulders, Kenya",Over 30 years
8,Charles Shashidhar K Ananda,"Country Manager, Roto Plc - Ethiopia",Over 30 years
9,Kuldeep Kaul,"General Manager, Polyplay Ltd, Kenya",Over 30 years
10,Chiddambar Kurlkani,"Ast.General Manager, Jojo Plastics Ltd, Kenya",Over 10 years
11,Hedge Balakrishna,"General Manager, Flame Tree Africa Ltd, Kenya",Over 30 years
12,Shalu Mohammed,"Ast.General Manager, Rino Tanques Lda,
Mozambique",Over 15 years
