Basic earnings per share,Column,Column,Column,Column
Total number of shares,"178,053,486","178,053,486","178,053,486","178,053,486"
Total profit/(loss) for the year,"(74,655,902)","(214,971,896)","(35,437,083)","(13,022,700)"
Total comprehensive for the year,"24,745,610","95,626,512","(35,437,083)","(13,022,700)"
Earning per share – On profit/(loss) for the year,(0.42),(1.21),(0.20),(0.07)
"Earnings per share – On total comprehensive income /
(loss) for the year",0.14,0.54,(0.20),(0.07)
