Activity,% Turnover Total,%Gross Profit Total,% Operating Profit Total
Manufacturing,89%,84%,158%
Trade,11%,16%,-59%
Holding,0%,0%,1%
Region,,,
Africa,89%,84%,159%
Middle East,11%,16%,-59%
