No.,Name of,Column,Constitutive,Column,Relevant,Column,Provision on borrowing powers,Column,Variation of powers,Column,Comments
,Company,,document,,clauses,,,,,,
,,,,,,,"transactions, to issue, make, endorse or draw any negotiable",,,,
,,,,,,,"instruments (such as cheques, bills of exchange, promissory",,,,
,,,,,,,notes or bills of lading) in relation to its business and power,,,,
,,,,,,,"for each Free Zone Company to make, alter or dispose of any",,,,
,,,,,,,investments (whether or not within the UAE) in relation to its,,,,
,,,,,,,business.,,,,
8.,Roto Private,"Memorandum of
Association",,Article 8,," The General Manger shall have full power to buy and sell
shares held by the company, immovable or movable property
owned by the company. The General Manger shall also have
the power to sign any contract on behalf of the company, give
as collateral any immovable and/or movable property of the
company for any loan concluded with backs.",,"The borrowing power of the
General Manager may be
varied by a shareholder’s
resolution",,,Ethiopian commercial
,Limited,,,,,,,,,,law does not provide for
,Company,,,,,,,,,,directors. It only
,(Ethiopia),,,,,,,,,,provides for a
,,,,,,,,,,,Manager(s).
9.,Roto Limited,"Articles of
Association",,Article 15,," The manager of the company is endowed with the powers to
run and conduct the assets and business of the Company
within the limits of the objects of the Company.
 All powers that are not specifically provided by the law or the
articles of association to be the general meetings shall fall
within the competence of the manager.",,N/A,,,The Articles of
,(Rwanda),,,,,,,,,,Association dated
,,,,,,,,,,,16/5/2000 do not
,,,,,,,,,,,expressly make
,,,,,,,,,,,provision for the
,,,,,,,,,,,borrowing powers of the
,,,,,,,,,,,manager.
10,Build Mart,"Articles of
association",,"Article 15
& 29",," The managing director shall have full powers to manage and
administer assets and activities of the company within the
limit of the company objects. It shall be within his powers to
carry out all those duties which are not expressly reserved for
the general meeting either by law or these articles of
association (Article 15).
 For any matter not taken care of by these Articles of
Association, the members shall refer to the laws governing
companies in the republic of Rwanda (Article 29).",,N/A,,"The Articles of
Association dated
20/7/2012 do not
expressly make
provision for the
borrowing powers of
the manager",
.,Limited,,,,,,,,,,
,(Rwanda),,,,,,,,,,
