Column,Total,Total,Profit total,Total
Manufacturing,95%,95%,93%,138%
Trade,5%,5%,20%,-90%
Holding,0%,0%,-13%,52%
Region,,,,
Africa,95%,95%,80%,
Middle East,5%,5%,20%,
