No.,Industry,Shares,Shares %,Shareholders,"Shareholders
%"
1.,"East African Community Partner
States Individuals","167,518,260",94.08,"1,927",95.92
2.,"East African Community Partner
States Institutions","5,326,242",2.99,63,3.14
3.,Foreign Individual,"2,710,250",1.52,18,0.90
4.,Foreign Institutions,"2,498,734",1.40,1,0.05
5.,Totals,"178,053,486",100.00,"2,009",100.00
