No.,Column,Name of,Column,"Constitutive
document",Column,Relevant,Column,Provision on borrowing powers,Column,Variation of powers,Column,Comments
,,Company,,,,clauses,,,,,,
11,"Flame Tree
Brands Limited
(Rwanda)",,"Articles of
association",,Article 15,," The manager of the company is endowed with the powers to
run and conduct the assets and business of the Company
within the limits of the objects of the Company.
 All powers that are not specifically provided by the law or the
articles of association to be the general meeting’s shall fall
within the competence of the manager.",,N/A,,"The Articles of
Association dated
17/7/2002 do not
expressly make
provision for the
borrowing powers of
the manager",
12,"Rino Tanques,
Limitada
(Mozambique)",,"Articles of
Association",,,," The Articles are silent on the issue of borrowing powers
therefore the Commercial Law Act of Mozambique applies.",,N/A,,,
,,,Commercial Law Act,,,," The directors may borrow for the company the supplies it
needs and the terms and conditions of the borrowing should
be established by the General Assembly.",,N/A,,,
